,number,artist,title,genre,heart,t.listener,t.listen
228,92327228,임영웅,난 정말 몰랐었네,트로트,637,"7,964","29,378"
229,92107244,임영웅 & 영탁 & 이찬원,사랑해 누나,트로트,644,"4,892","29,366"
230,90935305,영탁,최고의 사랑,트로트,698,"16,810","179,865"
231,90169585,김호중,사랑했어요,트로트,"3,085","54,864","746,027"
232,90935301,이찬원,최진사댁 셋째딸,트로트,654,"13,236","123,144"
233,90216789,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,안동역에서,트로트,"1,649","58,719","320,549"
234,90709004,조항조,가인,트로트,87,"15,857","111,229"
235,90252974,정동원,효도합시다,트로트,399,"34,414","217,505"
236,90190737,이찬원,사랑의 밧줄,트로트,"1,500","47,938","625,239"
237,90190744,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,천생연분,트로트,"1,833","53,407","345,240"
238,90169580,임영웅 & 영탁 & 이찬원 & 정동원 & 김호중 & 장민호 & 김희재,SUNNY,트로트,"2,445","121,996","645,481"
239,92023524,영탁,잡초,트로트,378,"8,350","34,788"
240,90928019,정동원,주라주라,트로트,249,"29,412","118,590"
241,91622411,김희재,해바라기 꽃,트로트,539,"6,581","131,032"
242,90709012,김범룡,불꽃처럼,트로트,105,"11,066","87,811"
243,92720604,영탁 & 장민호 & 김희재 & 강태관,대세남,트로트,397,"4,150","26,871"
244,90340807,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,어떤이의 꿈,트로트,"1,956","101,399","510,617"
245,90124467,김호중,꽃바람 여인,트로트,"2,192","42,134","351,458"
246,90295223,임영웅 & 이찬원 & 장민호,애상,트로트,"1,469","44,437","320,724"
247,91204565,김희재,아이 좋아라,트로트,567,"10,278","207,831"
248,90935303,장민호,아버지의 강,트로트,141,"9,123","64,806"
249,90106094,이찬원,꿈속의 사랑,트로트,"1,177","41,215","370,350"
250,90340810,이찬원,망부석,트로트,"1,024","25,329","237,100"
251,91691109,권인하 & 장민호,형,트로트,138,"6,322","45,184"
252,92720598,양지은,님 찾아 가는길,트로트,40,"6,367","26,083"
253,90340813,영탁,나는 나비,트로트,774,"51,935","261,980"
254,90709010,오승근 & 임영웅,빗속을 둘이서,트로트,"1,334","34,215","195,134"
255,90216796,정동원,동백아가씨,트로트,293,"38,233","213,174"
256,92187773,장민호,그때 그 부산,트로트,84,"3,414","25,184"
257,90928026,김희재,나 항상 그대를,트로트,686,"16,211","264,796"
258,90252980,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,사랑의 트위스트,트로트,"1,649","46,666","238,066"
259,90124473,이찬원,해뜰날,트로트,"1,066","40,149","341,362"
260,92402866,장민호,인생,댄스,87,"3,802","24,652"
261,90412805,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,무시로,트로트,"1,726","78,254","352,727"
262,90751200,영탁,차표 한장,트로트,434,"22,207","92,660"
263,90972991,김희재,내 사랑아,트로트,631,"13,124","204,139"
264,92964769,임영웅,목로주점,블루스/포크,409,"8,561","24,805"
265,90972992,임영웅,버스 한대,트로트,"1,115","22,321","96,402"
266,90640754,백지영,귀로,트로트,97,"31,305","130,174"
267,92266029,영탁,울면서 후회하네,트로트,391,"5,641","23,835"
268,90442860,장민호,첨밀밀 (甛蜜蜜),트로트,201,"20,779","117,245"
269,90442860,장민호,첨밀밀 (甛蜜蜜),트로트,201,"20,779","117,245"
270,90169583,영탁,당신이 최고야,트로트,662,"56,233","303,287"
271,90507916,김호중,열애,트로트,"2,480","39,234","600,469"
272,90190738,임영웅 & 홍진영,그대안의 블루,트로트,"1,321","51,449","319,399"
273,90295219,이찬원,고향역,트로트,"1,083","24,878","205,737"
274,92107247,장민호,울지마,트로트,100,"4,582","22,959"
275,90169587,김희재,J에게,트로트,820,"34,973","262,689"
276,92266028,임영웅 & 영탁 & 이찬원 & 정동원 & 장민호 & 김희재,1.2.3.4,트로트,670,"4,308","22,090"
277,90378684,정동원,돌아와요 부산항에,트로트,237,"33,444","174,454"
278,92266031,장민호,블링블링,트로트,85,"4,072","22,562"
279,90169590,정동원,담다디,트로트,526,"48,744","286,113"
280,90677248,정동원,샤방샤방,트로트,209,"25,524","91,407"
281,90442852,이찬원,Unchained Melody,트로트,801,"12,099","132,111"
282,90295218,정동원,수은등,트로트,268,"28,945","170,636"
283,92886221,장민호,가라지,트로트,103,"3,811","22,413"
284,90252971,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,강원도 아리랑,트로트,"1,657","39,523","216,792"
285,91893113,임영웅 & 영탁 & 이찬원 & 정동원 & 장민호 & 김희재,희망가,트로트,800,"5,170","31,318"
286,90536214,정동원,사랑 반 눈물 반,트로트,206,"22,235","117,987"
287,91691114,정동원,인생소풍,트로트,160,"6,924","36,310"
288,90295221,영탁,아빠의 청춘,트로트,502,"38,158","184,342"
289,91948493,장민호,마음이 울적해서,트로트,93,"3,871","30,125"
290,91420725,정동원,사모,트로트,156,"9,043","50,946"
291,91358289,영탁,아직도 어두운 밤인가봐,트로트,550,"13,681","110,180"
292,90378688,김호중,무인도,트로트,"2,599","61,715","419,927"
293,90507908,박서진,아이라예,트로트,153,"14,249","119,165"
294,90677246,임영웅 & 영탁 & 이찬원 & 정동원 & 장민호 & 김희재,누이,트로트,"1,295","24,110","112,886"
295,90106098,김호중,사랑 밖엔 난몰라,트로트,"2,170","47,180","345,020"
296,90972995,김호중,내사랑 내곁에,트로트,"1,182","14,264","86,620"
297,90751202,정동원,가지마,트로트,203,"14,837","93,369"
298,91064162,김희재,수리수리술술,트로트,583,"10,393","105,153"
299,90571779,임영웅 & 영탁 & 이찬원 & 김호중 & 정동원 & 장민호 & 김희재 & 황윤성 & 나태주 & 류지광 & 강태관 & 노지훈 & 김중연 & 남승민,해변으로 가요,트로트,"1,482","49,877","205,744"
300,91286261,김희재,짝사랑,트로트,569,"10,158","230,800"
301,90482376,임영웅 & 영탁 & 정동원,잘못된 만남,트로트,950,"28,780","155,388"
302,91204564,장민호,쿵짝인생,트로트,137,"9,208","59,184"
303,90608764,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,달빛 창가에서,트로트,"1,336","18,701","115,032"
304,90190742,영탁 & 홍진영,오늘밤에,트로트,487,"49,287","275,627"
305,92720606,홍지윤,비밀번호 486,댄스,43,"5,524","19,785"
306,90412809,김희재,폼나게 살거야,트로트,623,"17,696","133,704"
307,90677253,백지영 & 영탁,이별이야기,트로트,339,"44,430","182,817"
308,90148252,영탁 & 김희재,꽃,트로트,711,"45,868","308,480"
309,90148252,영탁 & 김희재,꽃,트로트,711,"45,868","308,480"
310,90148255,정동원,불효자는 웁니다,트로트,280,"37,163","206,683"
311,92720599,정동원,꽃물,트로트,127,"5,725","19,464"
312,91064189,김용임 & 임영웅,내사랑 그대여,트로트,736,"10,692","68,288"
313,90751196,영탁,아리아리요,트로트,504,"20,518","106,817"
314,90972993,영탁,고래사냥,트로트,449,"28,176","108,274"
315,90891133,정동원,곡예사의 첫사랑,트로트,192,"15,080","76,076"
316,90378685,이찬원,감수광,트로트,915,"27,651","217,084"
317,90571781,영탁 & 류지광,아파트,트로트,195,"20,985","92,943"
318,92638148,양지은 & 홍지윤 & 김다현 & 김태연 & 김의영 & 별사랑 & 은가은,돌리도,트로트,40,"4,435","18,703"
319,90190734,정동원,동반자,트로트,317,"37,581","200,080"
320,90536222,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,젊음의 노트,트로트,"1,425","42,077","186,642"
321,90571785,이찬원 & 김중연,나에게로 떠나는 여행,트로트,640,"21,883","238,707"
322,90295222,장민호,내 나이가 어때서,트로트,209,"24,360","133,724"
323,90928028,김희재,최고다 당신,트로트,621,"9,756","145,969"
324,92457798,장민호,남자다잉,트로트,82,"3,481","18,298"
325,92798379,정동원,왔다야,트로트,141,"7,168","19,574"
326,91064190,정수라 & 이찬원,꿈의 대화,트로트,325,"8,542","68,895"
327,92187776,장민호,아서라 마서라,트로트,79,"3,027","17,991"
328,90608770,영탁,인연,트로트,447,"21,972","105,683"
329,90709006,강진,찐이야,트로트,87,"24,111","83,248"
330,90378683,김희재,Tears,트로트,724,"21,290","148,163"
331,92327231,장민호,나야 나,트로트,77,"3,458","17,654"
332,90608773,조항조 & 임영웅 & 영탁 & 이찬원 & 김호중 & 장민호 & 김희재,만약에,트로트,"1,209","13,105","92,952"
333,91064183,김희재,사랑여행,트로트,544,"8,361","90,663"
334,92720610,양지은,또 만났네요,발라드,30,"5,212","17,515"
335,90640752,린 (LYn),돌팔매,트로트,97,"17,121","110,614"
336,90935297,장민호,오늘이 젊은날,트로트,131,"8,145","53,036"
337,91358290,김희재,우린 너무 쉽게 헤어졌어요,트로트,521,"6,089","126,087"
338,90787476,정동원,계단 말고 엘리베이터,트로트,213,"15,381","78,104"
339,90169581,이찬원,추억의 소야곡,트로트,888,"28,576","204,595"
340,90608766,김희재,열정,트로트,598,"13,606","114,522"
341,90378687,영탁,Summer Time,트로트,602,"41,825","216,285"
342,90412808,정동원,두 주먹,트로트,297,"27,220","139,831"
343,90507911,영탁,건배,트로트,470,"25,264","131,458"
344,90482381,강진 & 임영웅 & 영탁 & 이찬원 & 김호중 & 정동원 (JUNG DONG WON) & 장민호 & 김희재,땡벌,트로트,"1,269","29,308","108,671"
345,92457796,정동원,대박이야,트로트,119,"4,659","17,342"
346,91622414,임영웅 & 영탁 & 장민호,Gimme! Gimme!,트로트,529,"7,559","39,541"
347,91622416,장민호,장녹수,트로트,111,"6,096","33,909"
348,90442857,이찬원,타타타,트로트,986,"20,492","306,251"
349,92560996,영탁,동전인생,트로트,349,"4,259","16,375"
350,91064184,정동원,난 너에게,트로트,164,"13,030","58,047"
351,91948487,정동원,전선야곡,트로트,128,"5,307","24,010"
